Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","62.583136","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","62.615164","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","62.647193","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","62.839362","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","63.031531","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","63.223701","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","63.576011","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","63.928321","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","64.280632","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","64.440773","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","64.600914","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","64.761055","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","65.465676","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","66.170297","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","66.874917","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","67.067087","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","67.259256","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","67.451425","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","67.579538","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","67.707651","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","67.835764","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","68.4443","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","69.052836","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","69.661372","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","69.789485","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","69.917598","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","70.045711","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","69.917598","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","69.789485","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","69.661372","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","69.917598","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","70.173824","I","Value imputed by a receiving agency","base year is 2015"
